galaxy,n_points,chi2_spum_red,chi2_nfw_red,aic_spum,aic_nfw,bic_spum,bic_nfw,delta_aic,delta_bic,spum_better_aic,spum_better_bic,nfw_params
UGC09037,22,0.4589664534348779,1.3673011713612653,17.802429708392925,31.978722255864042,23.257641975184505,35.251849615938994,-14.176292547471117,-11.994207640754489,True,True,"1.31e+12,7.25"
UGC10310,7,0.098691760808415,0.9395005865260674,10.19738352161683,9.75800234610427,9.926934266893396,9.595732793270209,0.43938117551256006,0.33120147362318697,False,False,"1.13e+11,9.72"
UGC11455,36,3.168280193314505,17.405517805273572,108.21668599274966,580.3820875740279,116.1342806850302,585.1326443893962,-472.1654015812782,-468.998363704366,True,True,"3.26e+12,13.23"
UGC11557,12,0.3552553057649041,2.578268152602671,12.486787140354329,29.20441337342404,14.91132038929433,30.65913332278804,-16.71762623306971,-15.74781293349371,True,True,"4.36e+12,2.00"
UGC11820,10,18.75050809776692,1.0234926757538292,103.75254048883461,13.164448730276803,105.26546595380483,14.072204009258941,90.58809175855781,91.1932619445459,False,False,"3.10e+11,4.64"
UGC11914,65,1.0732769197888072,5.650208075970878,74.39661518732844,356.3129007101944,85.26855153680663,362.83606251988135,-281.91628552286596,-277.5675109830747,True,True,"6.62e+12,14.81"
UGC12506,31,0.6212656532729084,0.1599842428330655,26.15290698509562,10.479558799325833,33.32284300752135,14.781520412781273,15.673348185769786,18.541322594740077,False,False,"1.45e+12,20.56"
UGC12632,15,0.1831884883411109,0.3250662154965251,11.831884883411108,9.900794585958302,15.372135888922159,12.02494518926493,1.9310902974528066,3.3471906996572294,False,False,"1.05e+11,8.47"
UGC12732,16,1.2774108566747089,0.471394466400737,24.051519423421798,12.12812806320958,27.914463034620702,14.445894229928925,11.923391360212218,13.468568804691778,False,False,"2.80e+11,6.50"
UGCA281,7,0.2746476130189547,2.4346415891579003,10.54929522603791,15.738566356631601,10.278845971314475,15.57629680379754,-5.189271130593692,-5.297450832483065,True,True,"1.83e+10,11.36"
UGCA442,8,1.6126819780993855,5.713572928889116,14.838045934298156,34.56786464444558,15.235253642697336,34.80618926948509,-19.72981871014742,-19.57093562678775,True,True,"7.18e+10,7.49"
UGCA444,36,0.1999449401168677,0.14188970925844882,16.198293143622898,10.682360405528811,24.115887835903447,15.432917220897142,5.515932738094087,8.682970615006305,False,False,"1.79e+12,2.00"
