galaxy,n_points,chi2_spum_red,chi2_nfw_red,aic_spum,aic_nfw,bic_spum,bic_nfw,delta_aic,delta_bic,spum_better_aic,spum_better_bic,nfw_params
F579-V1,14,0.0473613507295121,0.31765492402181983,10.426252156565608,9.494204164240017,13.6215388046419,11.411376153085794,0.9320479923255913,2.2101626515561072,False,False,"1.56e+11,20.21"
F583-1,25,0.1107945264588309,1.7248818394758374,12.215890529176619,43.94740046846842,18.310269653517622,47.60402794307302,-31.731509939291804,-29.2937582895554,True,True,"3.25e+11,5.23"
F583-4,12,0.5379772531474262,0.37271507578635205,13.765840772031982,9.354435682077169,16.190374020971984,10.80915563144117,4.411405089954814,5.381218389530813,False,False,"3.27e+11,4.83"
IC2574,34,3.9668852554250007,26.128088817988687,125.03967240732501,815.9707533576493,132.67147503040582,820.5498349314978,-690.9310809503243,-687.8783599010919,True,True,"1.38e+11,3.48"
IC4202,32,3.352424168638636,195.2829331768551,100.51545255324318,5669.205062128798,107.84413206724182,5673.602269837197,-5568.689609575555,-5565.758137769955,True,True,"1.00e+13,5.61"
KK98-251,15,0.3296342908679308,4.120345071489117,13.296342908679307,55.44414085786941,16.83659391419036,57.56829146117604,-42.1477979491901,-40.73169754698568,True,True,"5.37e+11,2.00"
NGC0024,29,0.2402896772563185,1.3687475214011944,15.766952254151644,41.58743555643105,22.603431404084013,45.68932304639048,-25.82048330227941,-23.085891642306464,True,True,"1.08e+11,26.74"
NGC0055,21,0.3087837456695435,4.405650312181055,14.940539930712696,85.30170561925898,20.16315211932981,88.43527293242926,-70.3611656885463,-68.27212081309945,True,True,"4.40e+11,5.21"
NGC0100,21,0.0927389205496208,1.479035927334673,11.483822728793932,32.62264669202411,16.70643491741105,35.75621400519438,-21.13882396323018,-19.04977908778333,True,True,"7.51e+11,5.24"
NGC0247,26,4.632072011782525,2.276186588112877,107.27351224743303,58.35229152659617,113.56399493754044,62.12658114066062,48.921220720836864,51.437413796879824,False,False,"7.90e+11,5.17"
NGC0289,28,2.9412939358058354,2.3682875354253543,77.64976052353421,65.20718838563386,84.31078307441024,69.20380191615946,12.442572137900356,15.106981158250775,False,False,"9.66e+11,7.42"
NGC0300,25,0.6688419393552406,0.7086144390008743,23.376838787104813,21.589517658019233,29.471217911445816,25.246145132623838,1.78732112908558,4.225072778821978,False,False,"2.45e+11,9.18"
NGC0801,13,12.808819009387165,6.337326772967277,112.47055207509732,69.37326772967276,115.295298862405,71.06811580205738,43.097284345424555,44.22718306034763,False,False,"1.47e+12,8.08"
NGC0891,18,1.246118059188582,2.6551195655003417,26.199534769451567,45.826793482505124,30.65139355893239,48.49790875619362,-19.627258713053557,-17.846515197261226,True,True,"7.15e+11,26.85"
NGC1003,36,6.304672021471866,3.06162362731121,205.44483266562784,107.03357970126993,213.3624273579084,111.78413651663826,98.41125296435791,101.57829084127013,False,False,"4.06e+11,5.48"
NGC1090,24,2.91261251060158,5.442396433334055,65.33963770143002,120.29032510001517,71.22990685316975,123.824486591059,-54.950687398585146,-52.59457973788925,True,True,"5.43e+11,16.63"
NGC1705,14,0.9884055727970932,0.5128342600217929,18.89565015517384,11.641176860239721,22.09093680325013,13.558348849085498,7.254473294934119,8.532587954164633,False,False,"2.92e+10,30.00"
NGC2366,26,0.4140960138291277,5.4898067154843435,18.696016290411684,132.2655544561399,24.986498980519094,136.03984407020437,-113.56953816572823,-111.05334508968528,True,True,"3.55e+11,4.12"
NGC2403,73,18.549010409537164,4.959515462719306,1271.3327078485272,353.16608239035145,1282.7850050542693,360.03746071379663,918.1666254581758,922.7475443404726,False,False,"2.68e+11,18.49"
NGC2683,11,4.276134126740724,2.154133501639199,35.656804760444345,23.23306801311359,37.64628112443619,24.426753831508705,12.423736747330754,13.219527292927488,False,False,"3.32e+11,30.00"
NGC2903,34,22.039087805600357,11.389049415176553,649.1335463624104,359.06053187047314,656.7653489854912,363.63961344432164,290.0730144919372,293.12573554116955,False,False,"4.41e+11,30.00"
NGC2915,30,0.3191106651648205,0.8970406645594209,17.977766629120513,30.220097943104363,24.98375353743129,34.42369008809083,-12.24233131398385,-9.439936550659539,True,True,"9.21e+10,14.57"
NGC2955,24,3.041651125932661,114.04854327995342,67.79137139272056,2401.0194088790217,73.6816405444603,2404.5535703700657,-2333.228037486301,-2330.8719298256055,True,True,"8.11e+12,4.51"
NGC2976,27,0.4975853466560773,8.233213834762461,20.9468776264337,203.59713203429905,27.426061956455346,207.48464263231205,-182.65025440786536,-180.0585806758567,True,True,"1.00e+13,4.52"
NGC2998,13,2.006553723506673,0.7206509772157412,26.052429788053384,13.206509772157412,28.87717657536107,14.901357844542023,12.845920015895972,13.975818730819046,False,False,"1.12e+12,14.71"
NGC3109,25,0.2655720880408666,11.539549801556234,15.311441760817333,259.87009563423715,21.405820885158334,263.52672310884174,-244.55865387341981,-242.1209022236834,True,True,"2.65e+12,2.00"
NGC3198,43,3.551368490302248,3.5441146385821307,144.95200263148544,147.76458554328522,153.75800320995324,153.04818589036591,-2.8125829117997796,0.7098173195873301,True,False,"4.46e+11,16.35"
NGC3521,41,0.3002295848955312,0.05291521158940481,20.808265056239122,8.010778040397383,29.376125389760663,13.151494240510306,12.797487015841739,16.224631149250357,False,False,"1.05e+12,12.70"
NGC3726,12,3.8746627294333074,3.683564455534882,37.12263910603315,39.152080099813936,39.547172354973156,40.606800049177934,-2.0294409937807885,-1.059627694204778,True,True,"6.97e+11,9.54"
NGC3741,21,3.144381543560725,0.44737750419816685,60.3101046969716,14.052795075567003,65.53271688558871,17.186362388737273,46.257309621404595,48.34635449685144,False,False,"9.32e+10,5.11"
NGC3769,12,0.5727226741034354,0.6038685477663228,14.009058718724049,11.434816929896904,16.43359196766405,12.889536879260906,2.5742417888271447,3.5440550884031445,False,False,"2.03e+11,19.40"
NGC3877,13,0.7073495228665685,4.164543806619639,15.658796182932548,47.64543806619639,18.48354297024023,49.340286138581,-31.986641883263843,-30.85674316834077,True,True,"8.35e+11,15.66"
NGC3893,10,1.4983851029956878,0.9244349731714298,17.49192551497844,12.47104481220001,19.00485097994867,13.378800091182146,5.020880702778431,5.626050888766525,False,False,"4.68e+11,30.00"
NGC3917,17,1.0604947089462284,8.392452650642804,22.725936507354742,123.49433710899926,26.892003227635822,125.9939771411679,-100.76840060164452,-99.10197391353208,True,True,"1.10e+12,8.36"
NGC3949,7,0.1115772321841329,0.015358176392456594,10.223154464368266,6.0614327055698265,9.952705209644831,5.899163152735766,4.161721758798439,4.053542056909065,False,False,"9.63e+11,13.11"
NGC3953,8,0.67250223602817,0.07298760853494317,12.017506708084511,6.364938042674716,12.41471441648369,6.6032626677142225,5.652568665409795,5.811451748769468,False,False,"6.29e+11,22.64"
NGC3972,10,0.643291759707758,1.6924691212457932,13.21645879853879,17.84728384872055,14.72938426350902,18.75503912770269,-4.630825050181761,-4.025654864193671,True,True,"2.54e+12,6.98"
NGC3992,9,9.384369321713818,0.8048702071305752,47.53747728685527,10.82922124278345,48.523600173536366,11.420894974792109,36.70825604407182,37.10270519874426,False,False,"1.13e+12,15.74"
NGC4010,12,1.8768675882505597,3.7455318141038023,23.13807311775392,39.70978632693422,25.56260636669392,41.164506276298226,-16.571713209180302,-15.601899909604306,True,True,"1.04e+12,7.42"
NGC4013,36,2.782280186042998,3.717698238304206,96.25068576733294,128.68404186403882,104.16828045961348,133.43459867940715,-32.43335609670588,-29.26631821979366,True,True,"3.88e+11,30.00"
NGC4051,7,5.545030879690613,1.2292626307187038,21.09006175938123,10.917050522874815,20.81961250465779,10.754780970040756,10.173011236506413,10.064831534617035,False,False,"2.77e+12,3.69"
NGC4068,6,0.1883818063444714,4.938821279241785,10.188381806344472,20.816463837725358,9.147179152484746,20.19174224540952,-10.628082031380886,-11.044563092924776,True,True,"2.01e+12,2.00"
NGC4085,7,1.3831975578193465,6.52367901220672,12.766395115638693,32.09471604882688,12.495945860915258,31.932446495992817,-19.328320933188188,-19.436500635077557,True,True,"1.00e+13,5.81"
NGC4088,12,2.055436493046455,2.199166904204556,24.388055451325187,25.792502137841005,26.812588700265188,27.247222087205007,-1.4044466865158185,-0.4346333869398187,True,True,"5.04e+11,19.77"
