galaxy,chi2_red,n_points,upsilon,upsilon_err,lambda_grav,lambda_err,V_base,V_base_err,r0_base,r0_err,beta_light,beta_err,has_sigma_gas
NGC3769,0.6927170908645841,12,0.24087970541679812,0.4177139971529032,16.877234316764582,250.06681170227913,119.9749357317723,19.694484895927097,2.7940614923551435,3.9103194440038087,0.0999714630784919,18.09326583022313,True
NGC3877,1.395650289392251,13,0.10000000000000002,0.13701253650684286,5.489112389924445,63.506007494613684,178.03084739884014,55.48287000392572,3.3659358308240193,1.247366099711388,5.7692899340666404e-08,13.16267316722866,True
NGC3893,1.0598704303432966,10,0.22299110735587666,0.4079837708003964,11.403313321192403,211.23498687076136,182.0509055884743,79.70977983647681,2.4164857019082424,3.7222798001578226,0.09999921898770843,8.913239969580312,True
NGC3917,1.6617687342976293,17,0.10000000000000002,0.11158929984338187,11.527935869180673,643.6037489348092,147.10727171593044,70.00288689400695,4.5698081259017735,2.5869874108882547,0.09999559417803296,21.893930613089758,True
NGC3949,0.000625635284095953,7,0.6921989452324617,0.01931004378776523,1.9007248591297423,0.08907006880116071,189.60018763713393,3.3609072216234623,3.9998107557724967,0.29933566850081655,0.0897605837233801,0.6371487472811674,True
NGC3953,0.38027666541198757,8,1.2679503474691634,2.106514682838642,5.954285286880665,49.527301630478185,245.88392759554858,409.40664242827165,11.484772131161524,121.2973059349061,1.1735200914520628e-05,89.35514813617843,True
NGC3972,0.6200052704937968,10,0.10205709779098643,0.34890867338792325,1.3732480447122102,71.97289659029829,142.81441420242265,44.36912830068053,3.465262764076451,9.678676339031943,0.034175187749835946,18.953828701289424,True
NGC3992,1.3819318552465891,9,1.2235078110197173,1.3739220098330576,29.99999999999966,111.10286078100373,218.95622517567514,78.27372520031581,7.479677235514307,11.0853611016185,0.09999999999999995,89.1018183018738,True
NGC4010,1.645473964271226,12,0.1131922110550193,0.16301863251434706,13.71411864119848,8035.012261118426,140.1349121109051,591.8161754154072,5.007759508122203,15.438078040768442,9.408105350762964e-15,34.72347606033589,True
NGC4013,1.341434898012436,36,1.9999999999999762,3.220883978046725,3.7040157503568034,1.6680165050647755,171.97195227252388,2.1373937060882957,0.5000000000121135,7.071542453716011,0.09999999999999985,17.40175774334,True
NGC4051,1.7899031366103013,7,0.5844237919926752,0.33196155408013245,29.999977709318078,3962.5284715702073,132.5249005267028,1324.9156313181963,7.937070151645013,64.20023306396497,0.09999999999999999,52.09279667589592,True
