galaxy,chi2_red,n_points,upsilon,upsilon_err,lambda_grav,lambda_err,V_base,V_base_err,r0_base,r0_err,beta_light,beta_err
NGC3741,3.144381543560725,21,0.3,0.0,29.99999997193865,2864.4502366902184,48.668102910010205,7.206465591036791,2.1319969942748602,0.541614623962052,0.005,0.0
NGC3769,0.5727226741034354,12,0.6,0.0,9.574994031705915,27.929519758920737,119.11062131710301,6.4535968942379,1.660361863214314,0.3913976128193693,0.005,0.0
NGC3877,0.7073495228665685,13,0.6,0.0,2.630296526457431,27.78525935505822,179.98631415491337,11.946481683209145,2.990592613461909,0.35639838580432903,0.005,0.0
NGC3893,1.4983851029956878,10,0.6,0.0,4.173985298504285,14.718171433756769,187.82057077737085,9.369990165313807,1.3992708348348035,0.29310497982061934,0.005,0.0
NGC3917,1.0604947089462284,17,0.6,0.0,3.0406387449014036,18.12162972072628,147.48549365724284,8.198198826776666,4.2370470152183355,0.3665477736902322,0.005,0.0
NGC3949,0.11157723218413299,7,0.6,0.0,0.5806725604797502,9.414184060586663,168.6733040166501,2.683179777783066,1.6184912338425497,0.07588914208330079,0.005,0.0
NGC3953,0.67250223602817,8,0.6,0.0,1.7692416789992635,136.82217540712028,229.07159859305506,6.514606377021785,2.653232873622674,0.3745093002130031,0.005,0.0
NGC3972,0.643291759707758,10,0.6,0.0,29.99999875698003,928.234387446236,135.5336207527182,6.7573711090195845,2.9782198886733373,0.32621732558151484,0.005,0.0
NGC3992,9.384369321713818,9,0.6,0.0,12.017670272966194,119.62734659128549,254.80676210405193,23.029244092758784,0.5000000932394932,23.229303207260212,0.005,0.0
NGC4010,1.8768675882505594,12,0.6,0.0,8.290738852276565,69.67696067275837,134.14870584035643,23.71297425325022,4.176541826624465,1.21313550614355,0.005,0.0
NGC4013,2.782280186042998,36,1.9999999999999998,2.928146880348025,3.656576735466763,1.6048645964937545,173.67962747408936,17.55494936404111,0.5000000000000574,6.008082536659824,0.09999999139505855,249.36110953814705
NGC4051,5.545030879690613,7,0.6,0.0,5.008922045694194,63.86383816945192,161.80287944085273,27.450834500835942,2.618594350903176,1.6137608539282593,0.005,0.0
